"NAME","DATE","SNOW"
"NY CITY CENTRAL PARK, NY US","2017-01-31",1
"NY CITY CENTRAL PARK, NY US","2017-02-09",9.4
"NY CITY CENTRAL PARK, NY US","2017-03-10",2.1
"NY CITY CENTRAL PARK, NY US","2017-03-14",7.6
"NY CITY CENTRAL PARK, NY US","2017-12-09",4.6
"NY CITY CENTRAL PARK, NY US","2017-12-14",1.2
"NY CITY CENTRAL PARK, NY US","2017-12-15",1.2
"NY CITY CENTRAL PARK, NY US","2017-12-30",0.7
"NY CITY CENTRAL PARK, NY US","2018-01-04",9.8
"NY CITY CENTRAL PARK, NY US","2018-01-17",0.4
"NY CITY CENTRAL PARK, NY US","2018-01-29",0.1
"NY CITY CENTRAL PARK, NY US","2018-01-30",0.9
"NY CITY CENTRAL PARK, NY US","2018-02-07",0.5
"NY CITY CENTRAL PARK, NY US","2018-02-17",4.4
"NY CITY CENTRAL PARK, NY US","2018-03-07",3.2
"NY CITY CENTRAL PARK, NY US","2018-03-21",8.2
"NY CITY CENTRAL PARK, NY US","2018-03-22",0.2
"NY CITY CENTRAL PARK, NY US","2018-04-02",5.5
